FileName,Name,Inst,Range,Obs.Date,sp
table8a.dat,QSO B0957+561,FRODOSpec,600-920nm,2010-11-05,sp
table8b.dat,QSO B0957+561,FRODOSpec,600-920nm,2010-11-09,sp
table8c.dat,QSO B0957+561,FRODOSpec,600-920nm,2010-12-23,sp
table8d.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-01-09,sp
table8e.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-01-09,sp
table8f.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-02-24,sp
table8g.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-03-01,sp
table8h.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-04-10,sp
table8i.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-05-30,sp
table8j.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-10-24,sp
table8k.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-11-01,sp
table8l.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-12-05,sp
table8m.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-12-18,sp
table8n.dat,QSO B0957+561,FRODOSpec,600-920nm,2011-12-21,sp
table8o.dat,QSO B0957+561,FRODOSpec,600-920nm,2013-02-20,sp
table8p.dat,QSO B0957+561,FRODOSpec,600-920nm,2014-01-04,sp
table9a.dat,QSO B0957+561,SPRAT,400-815nm,2015-03-15,sp
table9b.dat,QSO B0957+561,SPRAT,400-815nm,2015-11-19,sp
table9c.dat,QSO B0957+561,SPRAT,400-815nm,2015-11-21,sp
table9d.dat,QSO B0957+561,SPRAT,400-815nm,2017-01-17,sp
table9e.dat,QSO B0957+561,SPRAT,400-815nm,2017-01-18,sp
table10a.dat,QSO B0957+561,ALFOSC,378-686nm,2010-03-28,sp
table10b.dat,QSO B0957+561,ALFOSC,378-686nm,2011-12-18,sp
table10c.dat,QSO B0957+561,ALFOSC,378-686nm,2013-03-14,sp
table11a.dat,QSO B0957+561,ALFOSC,322-613nm,2010-03-28,sp
table11b.dat,QSO B0957+561,ALFOSC,322-613nm,2011-12-18,sp
table11c.dat,QSO B0957+561,ALFOSC,322-613nm,2013-03-14,sp
table13a.dat,SDSS J1001+5027,FRODOSpec,600-920nm,2013-11-07,sp
table13b.dat,SDSS J1001+5027,FRODOSpec,600-920nm,2014-02-08,sp
table13c.dat,SDSS J1001+5027,FRODOSpec,600-920nm,2014-03-26,sp
table14a.dat,SDSS J1001+5027,SPRAT,396-806nm,2015-02-26,sp
table14b.dat,SDSS J1001+5027,SPRAT,396-806nm,2015-12-02,sp
table14c.dat,SDSS J1001+5027,SPRAT,396-806nm,2016-04-05,sp
table14d.dat,SDSS J1001+5027,SPRAT,396-806nm,2016-12-06,sp
