source_id,normalized_name,ra,dec,pgc
LMC_GRND,LMC,80.89416666666666,-69.75611111111111,17223
M101,M 101,210.80242916666668,54.34875,50063
M1337,NGC 1337,52.02482916666667,-8.388619444444442,12916
M31,M 31,10.684708333333333,41.268750000000004,2557
N0691,NGC 0691,27.673786536389997,21.759970445709996,6793
N1015,NGC 1015,39.54813215151,-1.3187773861799998,9988
N105A,NGC 105,6.31979949466,12.883864962659999,1583
N1309,NGC 1309,50.52731207393,-15.39994213692,12626
N1365,NGC 1365,53.40190833333333,-36.140658333333334,13179
N1448,NGC 1448,56.132979166666665,-44.644827777777785,13727
N1559,NGC 1559,64.3989619176,-62.78368099094,14814
N2442,NGC 2442,114.09904189399002,-69.53083273787,21373
N2525,NGC 2525,121.40849930031003,-11.427045532359998,22721
N2608,NGC 2608,128.82220753716,28.473398979510005,24111
N3021,NGC 3021,147.73810673169,33.55359289002,28357
N3147,NGC 3147,154.22349524198,73.40073383283999,30019
N3254,NGC 3254,157.33300833333334,29.491438888888887,30895
N3370,NGC 3370,161.76697273869,17.27369871105,32207
N3447,NGC 3447,163.34986296531,16.77242823926,32694
N3583,NGC 3583,168.5457458333333,48.318377777777776,34232
N3972,NGC 3972,178.93787699999996,55.320735,37466
N3982,NGC 3982,179.11726896503,55.12523877407,37520
N4038,NGC 4038,180.47084166666667,-18.86758888888889,37967
N4258,NGC 4258,184.7400833333333,47.30371944444444,39600
N4424,NGC 4424,186.79822551483997,9.420647348250002,40809
N4536,NGC 4536,188.6130369583333,2.1878799999999994,41823
N4639,NGC 4639,190.71824375013998,13.257418376,42741
N4680,NGC 4680,191.7281208333333,-11.637038888888888,43118
N5468,NGC 5468,211.6453774379183,-5.4529774527145,50323
N5584,NGC 5584,215.59921250000002,-0.38744999999999996,51344
N5643,NGC 5643,218.16990833333332,-44.174611111111105,51969
N5728,NGC 5728,220.59954937774,-17.25312243994,52521
N5861,NGC 5861,227.31704695833332,-11.321661111111112,54097
N5917,NGC 5917,230.3856254335,-7.377089110400001,54809
N7250,NGC 7250,334.5740666666667,40.56240555555555,68535
N7329,NGC 7329,340.10094603963,-66.47895444826,69453
N7541,NGC 7541,348.68273750000003,4.5339,70795
N7678,NGC 7678,352.11609521324993,22.421269142620005,71534
N976A,NGC 976,38.50015860403,20.976747665440005,9776
SMC,SMC,13.158333333333333,-72.80027777777778,3085
U9391,UGC 9391,218.65422,59.337826,52091
