source_id,normalized_name,sigma_leda,vrot_leda,morph_type
M101,M 101,,,Unknown
M1337,M 1337,,,Unknown
N0691,NGC 0691,,,Unknown
N1015,NGC 1015,,,Unknown
N105A,NGC 105A,,,Unknown
N1309,NGC 1309,,,Unknown
N1365,NGC 1365,,,Unknown
N1448,NGC 1448,,,Unknown
N1559,NGC 1559,,,Unknown
N2442,NGC 2442,,,Unknown
N2525,NGC 2525,,,Unknown
N2608,NGC 2608,,,Unknown
N3021,NGC 3021,,,Unknown
N3147,NGC 3147,,,Unknown
N3254,NGC 3254,,,Unknown
N3370,NGC 3370,,,Unknown
N3447,NGC 3447,,,Unknown
N3583,NGC 3583,,,Unknown
N3972,NGC 3972,,,Unknown
N3982,NGC 3982,,,Unknown
N4038,NGC 4038,,,Unknown
N4424,NGC 4424,,,Unknown
N4536,NGC 4536,,,Unknown
N4639,NGC 4639,,,Unknown
N4680,NGC 4680,,,Unknown
N5468,NGC 5468,,,Unknown
N5584,NGC 5584,,,Unknown
N5643,NGC 5643,,,Unknown
N5728,NGC 5728,,,Unknown
N5861,NGC 5861,,,Unknown
N5917,NGC 5917,,,Unknown
N7250,NGC 7250,,,Unknown
N7329,NGC 7329,,,Unknown
N7541,NGC 7541,,,Unknown
N7678,NGC 7678,,,Unknown
N976A,NGC 976A,,,Unknown
U9391,UGC 9391,,,Unknown
N4258,NGC 4258,,,Unknown
M31,M 31,,,Unknown
LMC_GRND,LMC,,,Unknown
LMC_HST,LMC,,,Unknown
SMC,SMC,,,Unknown
