source_id,normalized_name,sigma,method
M101,M 101,,None
M1337,M 1337,,None
N0691,NGC 0691,,None
N1015,NGC 1015,,None
N105A,NGC 105A,,None
N1309,NGC 1309,,None
N1365,NGC 1365,,None
N1448,NGC 1448,,None
N1559,NGC 1559,,None
N2442,NGC 2442,,None
N2525,NGC 2525,,None
N2608,NGC 2608,,None
N3021,NGC 3021,,None
N3147,NGC 3147,,None
N3254,NGC 3254,,None
N3370,NGC 3370,,None
N3447,NGC 3447,,None
N3583,NGC 3583,,None
N3972,NGC 3972,,None
N3982,NGC 3982,,None
N4038,NGC 4038,,None
N4424,NGC 4424,,None
N4536,NGC 4536,,None
N4639,NGC 4639,,None
N4680,NGC 4680,,None
N5468,NGC 5468,,None
N5584,NGC 5584,,None
N5643,NGC 5643,,None
N5728,NGC 5728,,None
N5861,NGC 5861,,None
N5917,NGC 5917,,None
N7250,NGC 7250,,None
N7329,NGC 7329,,None
N7541,NGC 7541,,None
N7678,NGC 7678,,None
N976A,NGC 976A,,None
U9391,UGC 9391,,None
N4258,NGC 4258,,None
M31,M 31,,None
LMC_GRND,LMC,,None
LMC_HST,LMC,,None
SMC,SMC,,None
