galaxy,sigma_kms,error_kms,source,method,notes,pgc,direct_sigma_spread_kms
NGC 3972,28.24645,9.931138,SDSS (astroquery.sdss),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.3499999046325684, ""mode"": ""calibrated_vmax"", ""pgc"": 37466}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 95.20512710660887}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 37466"", ""vrot"": 110.0}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 64.70588235294117}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 0.0014361072488117102, ""z"": 11.81684}, ""error_kms"": 9.931138, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 28.24645}}",37466,
NGC 3982,73.0,4.0,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.2730000019073486, ""mode"": ""calibrated_vmax"", ""pgc"": 37520}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 86.71212195565357}, ""ho2007"": {""details"": {""T"": 3.200000047683716, ""Vm"": 161.3000030517578, ""W50"": 196.8000030517578, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 3982"", ""sep_arcsec"": 2.2254601537631737, ""sig0"": 66.9000015258789}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 66.9000015258789}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 3982""}, ""error_kms"": 4.0, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 73.0}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 37520""}, ""error_kms"": 3.9, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 71.8}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 0.05825870984118036, ""z"": 10.94503}, ""error_kms"": 2.151845, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 67.27704}}",37520,5.7229600000000005
NGC 4038,107.39049067798273,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.440999984741211, ""mode"": ""calibrated_vmax"", ""pgc"": 37967}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 107.39049067798273}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 37967"", ""vrot"": 169.1}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 99.47058823529412}}",37967,
NGC 4258,148.0,4.0,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""bassdr2"": {""details"": {""SimbadName"": ""NGC4258"", ""catalog"": ""J/ApJS/261/6/best"", ""e_sigma"": 2.0, ""e_sigmaCaT"": 2.0, ""e_sigmaS"": 9.0, ""sep_arcsec"": 0.008379520123374727, ""sigma"": 123.0, ""sigmaCaT"": 123.0, ""sigmaS"": 102.0}, ""error_kms"": 2.0, ""method"": ""stellar absorption"", ""source"": ""BASS DR2 (Koss+2022; J/ApJS/261/6)"", ""value_kms"": 123.0}, ""hi_log2vm"": {""details"": {""log2vm"": 2.5910000801086426, ""mode"": ""calibrated_vmax"", ""pgc"": 39600}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 133.9824706840494}, ""ho2007"": {""details"": {""T"": 4.0, ""Vm"": 201.6999969482422, ""W50"": 417.79998779296875, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 4258"", ""sep_arcsec"": 1.2148104616886242, ""sig0"": 134.39999389648438}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 134.39999389648438}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 4258""}, ""error_kms"": 4.0, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 148.0}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 39600""}, ""error_kms"": 7.4, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 132.8}}",39600,15.199999999999989
NGC 4424,56.79999923706055,9.199999809265137,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 1.7669999599456787, ""mode"": ""calibrated_vmax"", ""pgc"": 40809}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 56.58584720540772}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 4424""}, ""error_kms"": 9.199999809265137, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 56.79999923706055}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 40809""}, ""error_kms"": 9.2, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 56.6}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 3.135936434920106, ""z"": 18.50401}, ""error_kms"": 8.530059, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 40.52683}}",40809,16.27316923706055
NGC 4536,85.0,1.0,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.4639999866485596, ""mode"": ""calibrated_vmax"", ""pgc"": 41823}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 110.89624261741146}, ""ho2007"": {""details"": {""T"": 4.199999809265137, ""Vm"": 153.60000610351562, ""W50"": 322.79998779296875, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 4536"", ""sep_arcsec"": 1.4682386224106245, ""sig0"": 180.8000030517578}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 180.8000030517578}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 4536""}, ""error_kms"": 1.0, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 85.0}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 41823""}, ""error_kms"": 9.6, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 111.4}}",41823,26.400000000000006
NGC 4639,96.0,4.0,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.4189999103546143, ""mode"": ""calibrated_vmax"", ""pgc"": 42741}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 104.2064903397759}, ""ho2007"": {""details"": {""T"": 3.5, ""Vm"": 164.0, ""W50"": 281.79998779296875, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 4639"", ""sep_arcsec"": 0.5911966235405277, ""sig0"": 87.0}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 87.0}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 4639""}, ""error_kms"": 4.0, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 96.0}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 42741""}, ""error_kms"": 4.0, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 90.6}}",42741,5.400000000000006
NGC 4680,102.67397940972218,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.4079999923706055, ""mode"": ""calibrated_vmax"", ""pgc"": 43118}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 102.67397940972218}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 43118"", ""vrot"": 94.5}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 55.588235294117645}}",43118,
NGC 5468,67.6076848302315,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.0239999294281006, ""mode"": ""calibrated_vmax"", ""pgc"": 50323}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 67.6076848302315}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 50323"", ""vrot"": 150.9}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 88.76470588235294}}",50323,
NGC 5584,54.18593,9.634534,SDSS (astroquery.sdss),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.2249999046325684, ""mode"": ""calibrated_vmax"", ""pgc"": 51344}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 82.13106521515476}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 51344"", ""vrot"": 124.7}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 73.3529411764706}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 0.8955527241501403, ""z"": 12.20652}, ""error_kms"": 9.634534, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 54.18593}}",51344,
NGC 5643,68.0,1.0,BASS DR2 (Koss+2022; J/ApJS/261/6),stellar absorption,"{""bassdr2"": {""details"": {""SimbadName"": ""NGC5643"", ""catalog"": ""J/ApJS/261/6/best"", ""e_sigma"": 1.0, ""e_sigmaCaT"": 1.0, ""e_sigmaS"": 1.0, ""sep_arcsec"": 0.00587524769061989, ""sigma"": 68.0, ""sigmaCaT"": 68.0, ""sigmaS"": 69.0}, ""error_kms"": 1.0, ""method"": ""stellar absorption"", ""source"": ""BASS DR2 (Koss+2022; J/ApJS/261/6)"", ""value_kms"": 68.0}, ""hi_log2vm"": {""details"": {""log2vm"": 2.2260000705718994, ""mode"": ""calibrated_vmax"", ""pgc"": 51969}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 82.22144571060602}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 51969"", ""vrot"": 171.2}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 100.70588235294117}}",51969,
NGC 5728,176.0,4.0,BASS DR2 (Koss+2022; J/ApJS/261/6),stellar absorption,"{""bassdr2"": {""details"": {""SimbadName"": ""NGC5728"", ""catalog"": ""J/ApJS/261/6/best"", ""e_sigma"": 4.0, ""e_sigmaCaT"": 4.0, ""e_sigmaS"": 9.0, ""sep_arcsec"": 0.009040554731941564, ""sigma"": 176.0, ""sigmaCaT"": 176.0, ""sigmaS"": 176.0}, ""error_kms"": 4.0, ""method"": ""stellar absorption"", ""source"": ""BASS DR2 (Koss+2022; J/ApJS/261/6)"", ""value_kms"": 176.0}, ""hi_log2vm"": {""details"": {""log2vm"": 2.566999912261963, ""mode"": ""calibrated_vmax"", ""pgc"": 52521}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 129.08725186047218}, ""ho2007"": {""details"": {""T"": 1.2000000476837158, ""Vm"": 202.0, ""W50"": 389.0, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 5728"", ""sep_arcsec"": 0.24821679715251538, ""sig0"": 210.0}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 210.0}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 52521""}, ""error_kms"": 14.1, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 197.2}}",52521,
NGC 5861,112.15979439887336,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.4719998836517334, ""mode"": ""calibrated_vmax"", ""pgc"": 54097}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 112.15979439887336}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 54097"", ""vrot"": 158.5}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 93.23529411764706}}",54097,
NGC 5917,54.470588235294116,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 54809"", ""vrot"": 92.6}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 54.470588235294116}}",54809,
NGC 7250,41.8235294117647,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 214816"", ""vrot"": 71.1}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 41.8235294117647}}",214816,
NGC 7329,123.70785110805046,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.5390000343322754, ""mode"": ""calibrated_vmax"", ""pgc"": 69453}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 123.70785110805046}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 69453"", ""vrot"": 250.9}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 147.58823529411765}}",69453,
NGC 7541,64.4,34.6,HyperLEDA (ledacat.cgi),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.5969998836517334, ""mode"": ""calibrated_vmax"", ""pgc"": 70795}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 135.24908105372592}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 70795""}, ""error_kms"": 34.6, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 64.4}}",70795,
NGC 7678,76.86814,3.770555,SDSS (astroquery.sdss),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.4260001182556152, ""mode"": ""calibrated_vmax"", ""pgc"": 71534}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 105.20216677261547}, ""ho2007"": {""details"": {""T"": 4.900000095367432, ""Vm"": 168.0, ""W50"": null, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 7678"", ""sep_arcsec"": 1.7691097044612893, ""sig0"": 107.30000305175781}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 107.30000305175781}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 71534""}, ""error_kms"": 43.0, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 102.3}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 0.0407499412092767, ""z"": 11.72624}, ""error_kms"": 3.770555, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 76.86814}}",71534,25.43186
NGC 976,217.6444785764,18.1067775043,MNRAS 482:1427 (VizieR J/MNRAS/482/1427),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.4590001106262207, ""mode"": ""calibrated_vmax"", ""pgc"": 9776}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 110.11827009843952}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 9776"", ""vrot"": 405.0}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 238.23529411764707}, ""mnras482_1427"": {""details"": {""Name"": ""NGC0976"", ""SimbadName"": ""NGC0976"", ""Vdisp30"": 93.4793228935, ""Vdisp30Hd"": 217.6444785764, ""Vdisp5"": 134.5151034146, ""catalog"": ""J/MNRAS/482/1427/table1"", ""chosen"": ""Vdisp30Hd"", ""e_Vdisp30"": 15.2120536404, ""e_Vdisp30Hd"": 18.1067775043, ""e_Vdisp5"": 13.6025863507, ""sep_arcsec"": 0.009625649102166307}, ""error_kms"": 18.1067775043, ""method"": ""stellar absorption"", ""source"": ""MNRAS 482:1427 (VizieR J/MNRAS/482/1427)"", ""value_kms"": 217.6444785764}}",9776,
SMC,25.52941176470588,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 3085"", ""vrot"": 43.4}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 25.52941176470588}}",3085,
UGC 9391,74.52721,27.37043,SDSS (astroquery.sdss),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.003999948501587, ""mode"": ""calibrated_vmax"", ""pgc"": 52091}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 66.49705209544025}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 52091"", ""vrot"": 75.7}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 44.529411764705884}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 1.6939049318335226, ""z"": 14.54161}, ""error_kms"": 27.37043, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 74.52721}}",52091,
