galaxy,claimed_w50,ho2007_found,ho2007_w50,ho2007_w20,ho2007_vm,ho2007_sig0,ho2007_inc,delta_w50
NGC 1448,270.0,False,,,,,,
NGC 1559,206.0,False,,,,,,
NGC 2525,234.0,False,,,,,,
NGC 3447,157.0,False,,,,,,
NGC 3972,223.0,False,,,,,,
NGC 4424,186.0,False,,,,,,
NGC 7250,149.0,False,,,,,,
NGC 0976,314.0,False,,,,,,
NGC 976,314.0,False,,,,,,
NGC 105,243.0,True,372.3999938964844,396.29998779296875,173.39999389648438,207.8000030517578,73.80000305175781,129.39999389648438
NGC 1337,268.0,False,,,,,,
NGC 4038,306.0,False,,,,,,
UGC 9391,194.0,False,,,,,,
M 101,80.0,False,,,,,,
