shoes_name,stellar_sigma,stellar_sigma_err,source
NGC 0691,102.5,21.8,HyperLeda
NGC 1015,106.5,6.6,HyperLeda
NGC 1309,82.0,26.7,HyperLeda
NGC 1365,141.1,18.7,HyperLeda
NGC 3021,55.7,24.5,HyperLeda
NGC 3147,223.9,7.4,HyperLeda
NGC 3254,129.9,5.8,HyperLeda
NGC 3370,92.4,9.9,HyperLeda
NGC 3583,131.4,7.0,HyperLeda
NGC 3982,71.8,3.9,HyperLeda
NGC 4424,56.6,9.2,HyperLeda
NGC 4536,111.4,9.6,HyperLeda
NGC 4639,90.6,4.0,HyperLeda
NGC 5728,197.2,14.1,HyperLeda
NGC 7541,64.4,34.6,HyperLeda
NGC 7678,102.3,43.0,HyperLeda
