test,y,slope_fixed,n_inner,n_outer,n_boot,n_matched_mean,n_matched_min,delta_mean,delta_std,delta_p16,delta_p84
matched_bootstrap_logP,W_I,-3.3,419,419,1000,340.0,340.0,0.028498385098035612,0.009180946187009983,0.019091352537437628,0.03775736248401948
matched_bootstrap_logP_color,W_I,-3.3,419,419,1000,300.0,300.0,0.03605929184148694,0.007561736679832734,0.02845081397806105,0.043657878948404304
slope_sensitivity,W_I,-3.1,419,419,0,,,0.017123212518271202,0.008884223415669138,,
slope_sensitivity,W_I,-3.3,419,419,0,,,0.028384033160063993,0.008598097721808503,,
slope_sensitivity,W_I,-3.5,419,419,0,,,0.039644853801860336,0.008941420630567066,,
wesenheit_R_scan,W_I(R=0.95),-3.3,419,419,0,,,0.058634646206495944,0.008789906204552824,,
wesenheit_R_scan,W_I(R=1.05),-3.3,419,419,0,,,0.05359290467829325,0.008633095865643073,,
wesenheit_R_scan,W_I(R=1.15),-3.3,419,419,0,,,0.048551135837218595,0.008524597876060512,,
wesenheit_R_scan,W_I(R=1.25),-3.3,419,419,0,,,0.04350933513113375,0.008466268315948202,,
wesenheit_R_scan,W_I(R=1.35),-3.3,419,419,0,,,0.03846760270721994,0.008459140217494701,,
wesenheit_R_scan,W_I(R=1.45),-3.3,419,419,0,,,0.03342579517292066,0.00850334856818712,,
wesenheit_R_scan,W_I(R=1.55),-3.3,419,419,0,,,0.028384033160063993,0.008598097721808503,,
wesenheit_R_scan,W_I(R=1.65),-3.3,419,419,0,,,0.023342287079715973,0.008741746891725556,,
wesenheit_R_scan,W_I(R=1.75),-3.3,419,419,0,,,0.01830052961900641,0.008931932961682558,,
wesenheit_R_scan,W_I(R=1.85),-3.3,419,419,0,,,0.013258758501862644,0.009165764413287834,,
wesenheit_R_scan,W_I(R=1.95),-3.3,419,419,0,,,0.00821696690006668,0.00943999568193734,,
wesenheit_R_scan,W_I(R=2.05),-3.3,419,419,0,,,0.003175216267573333,0.009751219248836858,,
wesenheit_R_scan,W_I(R=2.15),-3.3,419,419,0,,,-0.0018665434692088922,0.010096016062417973,,
long_period_slice_10d,W_I,-3.3,20,14,0,,,0.03439588910273095,0.06639861039333497,,
multivariate_pair_match_type,W_I,-3.3,419,419,1000,414.0,414.0,0.03044874284883438,0.0053622542404849535,0.025138953797220795,0.03577443291343492
