test,y,slope_fixed,n_inner,n_outer,n_boot,delta_mean,delta_std,delta_p16,delta_p84,n_matched_mean,n_matched_min
phat_footprint_restriction,Wmag,-3.3,106,110,0,0.6303677466164217,0.19480609082813335,,,,
matched_bootstrap_logP,Wmag,-3.3,153,919,1000,0.25290897468257334,0.16148039358457958,0.10290959645151602,0.41299859147083834,152.0,152.0
matched_bootstrap_logP_eW,Wmag,-3.3,153,919,1000,-0.10303170768434147,0.1288796816647973,-0.22279919403990817,0.026665603498592233,150.0,150.0
matched_bootstrap_logP_color,Wmag,-3.3,60,444,1000,-0.01699113294810125,0.1274943965248746,-0.14199251659062512,0.11224720059934057,55.0,55.0
metallicity_required_gamma,gamma_mag_per_dex,-3.3,153,919,0,0.7407633634889895,,,,,
slope_sensitivity,Wmag,-3.1,153,919,0,0.3558332929741219,0.13436364818081284,,,,
slope_sensitivity,Wmag,-3.3,153,919,0,0.35603794347733597,0.13573913508760158,,,,
slope_sensitivity,Wmag,-3.5,153,919,0,0.35624259398055,0.13719229706353572,,,,
wesenheit_R_scan,W_ri(R=2.28),-3.3,153,919,0,0.47542292405073283,0.17787245994019296,,,,
wesenheit_R_scan,W_ri(R=2.38),-3.3,153,919,0,0.4755433835101961,0.1786943590049325,,,,
wesenheit_R_scan,W_ri(R=2.48),-3.3,153,919,0,0.4756638429696558,0.17952677229734595,,,,
wesenheit_R_scan,W_ri(R=2.58),-3.3,153,919,0,0.47578430242911907,0.18036955424664597,,,,
wesenheit_R_scan,W_ri(R=2.68),-3.3,153,919,0,0.4759047618885752,0.18122256019346952,,,,
wesenheit_R_scan,W_ri(R=2.78),-3.3,153,919,0,0.47602522134803493,0.18208564645058892,,,,
wesenheit_R_scan,W_ri(R=2.88),-3.3,153,919,0,0.47614568080749464,0.18295867035998403,,,,
wesenheit_R_scan,W_ri(R=2.98),-3.3,153,919,0,0.47626614026695435,0.1838414903463551,,,,
wesenheit_R_scan,W_ri(R=3.08),-3.3,153,919,0,0.4763865997264105,0.18473396596716027,,,,
wesenheit_R_scan,W_ri(R=3.18),-3.3,153,919,0,0.4765070591858702,0.18563595795926535,,,,
wesenheit_R_scan,W_ri(R=3.28),-3.3,153,919,0,0.47662751864532993,0.18654732828229842,,,,
wesenheit_R_scan,W_ri(R=3.38),-3.3,153,919,0,0.47674797810478964,0.18746794015880242,,,,
wesenheit_R_scan,W_ri(R=3.48),-3.3,153,919,0,0.4768684375642458,0.1883976581112841,,,,
multivariate_pair_match_type,Wmag,-3.3,153,919,1000,-0.1758246223204925,0.10425148212810653,-0.280914726742961,-0.07453102816025294,29.0,29.0
multivariate_pair_match_type_strict,Wmag,-3.3,20,205,1000,-0.18691032224302853,0.06298905854915028,-0.24746391709533597,-0.12346451805743314,10.0,10.0
ols_inner_effect,pl_resid,-3.3,153,919,0,0.15874706604469963,0.1155903299307407,,,,
